transaction_id,date,year,sender_state,receiver_state,sender_account,receiver_account,amount_inr,transaction_type,channel,risk_score,flagged
TX0000070,2024-07-14,2024,Haryana,Gujarat,ACC560576,ACC817869,414382.64,Trade Invoice Payment,Cash,0.23,False
TX0000071,2023-09-03,2023,Gujarat,Gujarat,ACC515850,ACC238552,47095.25,Trade Invoice Payment,Cash,0.02,False
TX0000072,2024-05-14,2024,Andhra Pradesh,West Bengal,ACC734347,ACC711673,362225.6,Cash Deposit,UPI,0.2,False
TX0000073,2022-03-23,2022,Kerala,Assam,ACC459815,ACC731887,70215.4,Shell Company Transfer,Bank Transfer,0.6,False
TX0000074,2018-06-25,2018,Manipur,Karnataka,ACC192825,ACC917032,86162.51,Remittance,UPI,0.15,False
TX0000075,2020-01-02,2020,Telangana,Assam,ACC745859,ACC492174,225641.93,Trade Invoice Payment,Hawala Network,0.23,False
TX0000076,2023-08-25,2023,Jammu and Kashmir,Telangana,ACC901501,ACC788609,135603.37,Trade Invoice Payment,Bank Transfer,0.19,False
TX0000077,2019-11-03,2019,Telangana,Andhra Pradesh,ACC738837,ACC704171,55326.52,Trade Invoice Payment,Crypto Exchange,0.16,False
TX0000078,2020-04-11,2020,Karnataka,Punjab,ACC983260,ACC559473,508499.78,Trade Invoice Payment,Hawala Network,0.2,False
TX0000079,2019-03-04,2019,Rajasthan,Kerala,ACC770252,ACC675568,143211.6,Hawala-linked Transfer,Crypto Exchange,0.59,False
TX0000080,2022-08-06,2022,Mizoram,Punjab,ACC255705,ACC470662,121232.88,Hawala-linked Transfer,Cash,0.71,True
TX0000081,2024-02-26,2024,Tamil Nadu,Madhya Pradesh,ACC420583,ACC300404,16891.52,Trade Invoice Payment,Crypto Exchange,0.23,False
TX0000082,2019-07-24,2019,Kerala,West Bengal,ACC417185,ACC950816,133554.64,Remittance,Hawala Network,0.11,False
TX0000083,2018-12-06,2018,Haryana,Karnataka,ACC907479,ACC127393,327688.4,Remittance,UPI,0.19,False
TX0000084,2019-11-24,2019,Andhra Pradesh,Bihar,ACC998370,ACC149622,262394.79,Trade Invoice Payment,UPI,0.21,False
TX0000085,2019-12-25,2019,Kerala,Assam,ACC646307,ACC325381,206326.07,Trade Invoice Payment,Cash,0.29,False
TX0000086,2022-07-05,2022,Kerala,Gujarat,ACC579536,ACC768817,22015.89,Trade Invoice Payment,UPI,0.15,False
TX0000087,2020-11-14,2020,Karnataka,Telangana,ACC595331,ACC327177,209909.99,Trade Invoice Payment,Hawala Network,0.21,False
TX0000088,2024-03-17,2024,Assam,Karnataka,ACC421173,ACC556382,11440.8,Trade Invoice Payment,UPI,0.27,False
TX0000089,2021-03-14,2021,Jammu and Kashmir,Kerala,ACC795542,ACC296206,625568.09,Remittance,Crypto Exchange,0.12,False
TX0000090,2024-11-26,2024,West Bengal,Uttar Pradesh,ACC857663,ACC639400,83773.98,Remittance,Bank Transfer,0.1,False
TX0000091,2023-12-15,2023,Telangana,Kerala,ACC137484,ACC155150,29996.49,Remittance,Crypto Exchange,0.21,False
TX0000092,2020-03-23,2020,Gujarat,Tamil Nadu,ACC397313,ACC562401,183807.68,Hawala-linked Transfer,Hawala Network,0.71,True
TX0000093,2021-05-22,2021,Jammu and Kashmir,Bihar,ACC565659,ACC621043,159758.07,Remittance,Bank Transfer,0.24,False
TX0000094,2020-05-16,2020,Madhya Pradesh,Maharashtra,ACC707535,ACC764259,16833.16,Trade Invoice Payment,UPI,0.18,False
TX0000095,2020-03-07,2020,Odisha,Delhi,ACC401619,ACC471704,70794.25,Hawala-linked Transfer,Hawala Network,0.74,True
TX0000096,2018-10-16,2018,Haryana,Gujarat,ACC482904,ACC682042,69307.98,Trade Invoice Payment,UPI,0.24,False
TX0000097,2018-02-22,2018,Gujarat,Bihar,ACC400857,ACC922145,59329.16,Trade Invoice Payment,UPI,0.1,False
TX0000098,2022-12-18,2022,Bihar,Delhi,ACC932446,ACC301141,31909.09,Cash Deposit,Cash,0.12,False
TX0000099,2024-05-05,2024,Gujarat,Bihar,ACC796043,ACC884756,334832.69,Trade Invoice Payment,UPI,0.23,False
TX0000100,2021-01-05,2021,Kerala,Andhra Pradesh,ACC373032,ACC586273,13475.31,Cash Deposit,Cash,0.17,False
TX0000101,2021-01-06,2021,Jammu and Kashmir,Gujarat,ACC852949,ACC273857,677580.66,Trade Invoice Payment,Cash,0.12,False
TX0000102,2018-12-17,2018,Manipur,Manipur,ACC964729,ACC982686,19018.88,Trade Invoice Payment,Bank Transfer,0.05,False
TX0000103,2024-05-01,2024,Assam,Assam,ACC274004,ACC194736,30765.88,Remittance,Hawala Network,0.16,False
TX0000104,2022-06-01,2022,Jammu and Kashmir,Tamil Nadu,ACC613571,ACC425107,70238.46,Remittance,Hawala Network,0.29,False
TX0000105,2018-04-26,2018,Jammu and Kashmir,Telangana,ACC712053,ACC637541,32048.4,Cash Deposit,Cash,0.3,False
TX0000106,2022-08-19,2022,Telangana,Jammu and Kashmir,ACC495572,ACC890775,629188.86,Remittance,Crypto Exchange,0.26,False
TX0000107,2019-12-09,2019,West Bengal,Tamil Nadu,ACC611483,ACC867841,223781.86,Remittance,Cash,0.24,False
TX0000108,2021-12-13,2021,Andhra Pradesh,Gujarat,ACC134466,ACC742106,37922.22,Remittance,Bank Transfer,0.11,False
TX0000109,2020-11-01,2020,Assam,Tamil Nadu,ACC931066,ACC881667,184061.4,Trade Invoice Payment,Crypto Exchange,0.23,False
TX0000110,2021-08-10,2021,Odisha,Madhya Pradesh,ACC754205,ACC245433,11422.51,Trade Invoice Payment,Cash,0.29,False
TX0000111,2021-12-14,2021,Bihar,Delhi,ACC806151,ACC403082,115242.98,Cash Deposit,Hawala Network,0.12,False
TX0000112,2018-01-18,2018,Maharashtra,West Bengal,ACC710552,ACC173896,136495.8,Cash Deposit,Hawala Network,0.25,False
TX0000113,2018-10-23,2018,Tamil Nadu,Telangana,ACC628770,ACC258177,7288.73,Remittance,Crypto Exchange,0.2,False
TX0000114,2022-05-01,2022,West Bengal,Odisha,ACC636380,ACC428799,27026.07,Trade Invoice Payment,Cash,0.14,False
TX0000115,2018-11-01,2018,Maharashtra,Uttar Pradesh,ACC728245,ACC936505,38032.51,Remittance,Hawala Network,0.18,False
TX0000116,2023-09-11,2023,Uttar Pradesh,Odisha,ACC118978,ACC490139,24462.1,Remittance,UPI,0.29,False
TX0000117,2022-01-25,2022,West Bengal,Madhya Pradesh,ACC389430,ACC809313,208896.43,Hawala-linked Transfer,UPI,0.69,True
TX0000118,2024-11-13,2024,Punjab,Punjab,ACC523262,ACC637215,49649.7,Cash Deposit,Crypto Exchange,0.2,False
TX0000119,2021-05-03,2021,Kerala,West Bengal,ACC952122,ACC734587,483978.86,Cash Deposit,UPI,0.26,False
TX0000120,2022-02-04,2022,Assam,Rajasthan,ACC633049,ACC487901,30316.25,Trade Invoice Payment,Bank Transfer,0.17,False
TX0000121,2019-06-11,2019,Tamil Nadu,Jammu and Kashmir,ACC348411,ACC975088,57550.49,Cash Deposit,Cash,0.22,False
TX0000122,2022-10-04,2022,Kerala,Maharashtra,ACC137815,ACC717123,13607.17,Trade Invoice Payment,Bank Transfer,0.29,False
TX0000123,2019-11-22,2019,Bihar,Uttar Pradesh,ACC958476,ACC840980,34921.23,Trade Invoice Payment,Hawala Network,0.18,False
TX0000124,2019-11-14,2019,Haryana,Tamil Nadu,ACC388147,ACC617134,432937.36,Cash Deposit,Hawala Network,0.18,False
TX0000125,2018-11-21,2018,Jammu and Kashmir,Andhra Pradesh,ACC964987,ACC423019,919632.53,Hawala-linked Transfer,Bank Transfer,0.72,True
TX0000126,2019-11-09,2019,Delhi,Assam,ACC522615,ACC184597,164068.83,Hawala-linked Transfer,UPI,0.63,False
TX0000127,2022-01-21,2022,Maharashtra,Bihar,ACC243590,ACC421096,42293.57,Shell Company Transfer,UPI,0.56,False
TX0000128,2023-09-09,2023,Delhi,Jammu and Kashmir,ACC494027,ACC460419,312500.27,Hawala-linked Transfer,UPI,0.56,False
TX0000129,2019-03-23,2019,Jammu and Kashmir,Delhi,ACC596004,ACC545863,365682.87,Shell Company Transfer,Cash,0.64,False
TX0000130,2018-02-11,2018,Mizoram,West Bengal,ACC988267,ACC731282,10875.61,Trade Invoice Payment,Cash,0.16,False
TX0000131,2022-12-07,2022,Tamil Nadu,Madhya Pradesh,ACC990650,ACC227821,88883.01,Trade Invoice Payment,Bank Transfer,0.22,False
TX0000132,2020-08-26,2020,Odisha,Odisha,ACC780689,ACC798632,54050.95,Cash Deposit,Cash,0.02,False
TX0000133,2022-09-15,2022,Mizoram,Delhi,ACC583002,ACC264887,58530.79,Cash Deposit,Hawala Network,0.1,False
TX0000134,2023-02-07,2023,Telangana,Rajasthan,ACC283368,ACC203335,409764.24,Shell Company Transfer,Bank Transfer,0.58,False
TX0000135,2018-03-24,2018,Odisha,Madhya Pradesh,ACC213730,ACC888866,122419.62,Cash Deposit,Bank Transfer,0.14,False
TX0000136,2020-01-09,2020,Bihar,Karnataka,ACC893906,ACC368664,185224.94,Remittance,Crypto Exchange,0.18,False
TX0000137,2024-11-20,2024,Manipur,Bihar,ACC910480,ACC691948,10356.89,Trade Invoice Payment,Hawala Network,0.27,False
TX0000138,2019-01-01,2019,Gujarat,Assam,ACC359337,ACC903405,4338.94,Trade Invoice Payment,Hawala Network,0.24,False
TX0000139,2021-10-18,2021,Uttar Pradesh,Manipur,ACC126141,ACC163366,652359.04,Remittance,Crypto Exchange,0.13,False
TX0000140,2023-05-18,2023,Uttar Pradesh,Kerala,ACC643972,ACC508560,563620.87,Shell Company Transfer,Bank Transfer,0.73,True
TX0000141,2024-02-04,2024,Odisha,Kerala,ACC516978,ACC556107,26882.76,Cash Deposit,Cash,0.21,False
TX0000142,2020-05-22,2020,Kerala,Gujarat,ACC726424,ACC423656,30468.57,Remittance,Bank Transfer,0.13,False
TX0000143,2018-05-17,2018,Kerala,Haryana,ACC379025,ACC870528,9046.78,Cash Deposit,UPI,0.19,False
TX0000144,2018-02-15,2018,Andhra Pradesh,Odisha,ACC440347,ACC323285,25193.69,Crypto Off-ramp,Hawala Network,0.58,False
TX0000145,2023-11-20,2023,Haryana,Telangana,ACC938371,ACC430436,179344.12,Cash Deposit,Crypto Exchange,0.23,False
TX0000146,2022-11-07,2022,Jammu and Kashmir,Telangana,ACC578108,ACC736011,50233.69,Trade Invoice Payment,Hawala Network,0.28,False
TX0000147,2019-02-20,2019,Assam,Punjab,ACC785012,ACC287879,158816.8,Crypto Off-ramp,UPI,0.71,True
TX0000148,2022-05-27,2022,Uttar Pradesh,Punjab,ACC710363,ACC325422,38539.96,Cash Deposit,Hawala Network,0.22,False
TX0000149,2022-11-13,2022,Haryana,Manipur,ACC801305,ACC951780,170486.48,Hawala-linked Transfer,Hawala Network,0.65,True
TX0000150,2018-12-21,2018,Andhra Pradesh,Haryana,ACC617864,ACC126880,124090.5,Trade Invoice Payment,UPI,0.18,False
TX0000151,2023-12-03,2023,Haryana,Telangana,ACC979884,ACC601835,53866.96,Trade Invoice Payment,Hawala Network,0.16,False
TX0000152,2020-04-07,2020,Andhra Pradesh,Maharashtra,ACC359878,ACC424078,228813.91,Trade Invoice Payment,Cash,0.1,False
TX0000153,2022-03-26,2022,Tamil Nadu,Kerala,ACC161356,ACC361694,173397.27,Remittance,Cash,0.3,False
TX0000154,2019-11-11,2019,Delhi,Kerala,ACC611860,ACC973714,102706.61,Cash Deposit,Hawala Network,0.11,False
TX0000155,2023-11-23,2023,Gujarat,Assam,ACC178707,ACC958044,133657.04,Remittance,Crypto Exchange,0.18,False
TX0000156,2022-01-26,2022,Kerala,Telangana,ACC541487,ACC198911,238919.52,Remittance,Crypto Exchange,0.23,False
TX0000157,2021-04-24,2021,Jammu and Kashmir,Rajasthan,ACC654068,ACC127221,96658.77,Remittance,Crypto Exchange,0.15,False
TX0000158,2024-04-08,2024,Andhra Pradesh,Madhya Pradesh,ACC940395,ACC316001,51082.56,Remittance,Hawala Network,0.29,False
TX0000159,2019-03-22,2019,West Bengal,Gujarat,ACC432132,ACC935428,607941.82,Remittance,UPI,0.27,False
TX0000160,2022-08-19,2022,Karnataka,Gujarat,ACC982170,ACC470507,313916.03,Trade Invoice Payment,Cash,0.29,False
TX0000161,2023-10-02,2023,Mizoram,West Bengal,ACC974455,ACC811286,27349.79,Remittance,Hawala Network,0.27,False
TX0000162,2020-01-04,2020,Madhya Pradesh,Tamil Nadu,ACC834882,ACC421883,35836.8,Cash Deposit,Crypto Exchange,0.17,False
TX0000163,2021-10-16,2021,Jammu and Kashmir,Uttar Pradesh,ACC592984,ACC133235,52456.11,Trade Invoice Payment,Crypto Exchange,0.16,False
TX0000164,2019-06-21,2019,Andhra Pradesh,Rajasthan,ACC705179,ACC856143,128741.83,Trade Invoice Payment,UPI,0.11,False
TX0000165,2020-02-03,2020,Assam,Tamil Nadu,ACC950246,ACC789431,305991.25,Cash Deposit,Bank Transfer,0.18,False
TX0000166,2024-06-04,2024,Uttar Pradesh,Odisha,ACC100861,ACC468409,343839.57,Cash Deposit,Hawala Network,0.29,False
TX0000167,2019-06-01,2019,Andhra Pradesh,Uttar Pradesh,ACC894049,ACC573810,17693.68,Trade Invoice Payment,Hawala Network,0.23,False
TX0000168,2023-08-22,2023,Jammu and Kashmir,Uttar Pradesh,ACC915795,ACC146064,286247.2,Remittance,Hawala Network,0.2,False
TX0000169,2023-10-03,2023,Uttar Pradesh,Karnataka,ACC182351,ACC208887,286964.33,Hawala-linked Transfer,Bank Transfer,0.61,False
TX0000170,2019-12-03,2019,Bihar,Odisha,ACC757843,ACC646682,74236.28,Remittance,Bank Transfer,0.29,False
TX0000171,2019-09-17,2019,Odisha,Punjab,ACC353041,ACC696641,31543.38,Remittance,Crypto Exchange,0.24,False
TX0000172,2020-01-27,2020,Jammu and Kashmir,Uttar Pradesh,ACC747817,ACC359162,21634.05,Shell Company Transfer,Crypto Exchange,0.69,True
TX0000173,2020-05-23,2020,Maharashtra,Karnataka,ACC624538,ACC571392,15887.65,Shell Company Transfer,Cash,0.72,True
TX0000174,2024-10-23,2024,Gujarat,Karnataka,ACC561907,ACC250580,113323.02,Crypto Off-ramp,Hawala Network,0.56,False
TX0000175,2020-04-27,2020,Karnataka,Maharashtra,ACC947528,ACC526820,293687.44,Remittance,Crypto Exchange,0.24,False
TX0000176,2023-01-04,2023,Karnataka,Uttar Pradesh,ACC799969,ACC688592,187161.87,Trade Invoice Payment,Crypto Exchange,0.19,False
TX0000177,2020-09-24,2020,Madhya Pradesh,Andhra Pradesh,ACC120106,ACC227867,315225.28,Hawala-linked Transfer,Bank Transfer,0.63,False
TX0000178,2020-07-01,2020,Karnataka,Punjab,ACC319293,ACC599772,747040.46,Trade Invoice Payment,UPI,0.15,False
TX0000179,2022-11-13,2022,Assam,Manipur,ACC398065,ACC868312,238911.61,Trade Invoice Payment,UPI,0.25,False
TX0000180,2020-08-19,2020,Rajasthan,Andhra Pradesh,ACC308965,ACC264111,19503.04,Cash Deposit,Crypto Exchange,0.25,False
TX0000181,2023-09-26,2023,Rajasthan,Haryana,ACC599747,ACC857104,114691.9,Hawala-linked Transfer,UPI,0.69,True
TX0000182,2019-07-07,2019,Bihar,Haryana,ACC545903,ACC962276,185717.46,Remittance,Crypto Exchange,0.21,False
TX0000183,2023-05-18,2023,Madhya Pradesh,Karnataka,ACC994073,ACC801983,49282.79,Trade Invoice Payment,Hawala Network,0.15,False
TX0000184,2018-05-11,2018,Tamil Nadu,Bihar,ACC696598,ACC149651,82451.64,Remittance,Cash,0.28,False
TX0000185,2021-04-01,2021,Jammu and Kashmir,Maharashtra,ACC921269,ACC498426,318187.02,Trade Invoice Payment,Hawala Network,0.12,False
TX0000186,2021-04-12,2021,Maharashtra,Manipur,ACC600304,ACC474423,184872.27,Trade Invoice Payment,UPI,0.26,False
TX0000187,2021-07-17,2021,Uttar Pradesh,Odisha,ACC507332,ACC593854,106949.99,Hawala-linked Transfer,Hawala Network,0.66,True
TX0000188,2018-02-12,2018,Punjab,Uttar Pradesh,ACC180632,ACC383113,7069.8,Cash Deposit,UPI,0.13,False
TX0000189,2020-04-26,2020,Andhra Pradesh,Maharashtra,ACC377122,ACC299311,361899.54,Crypto Off-ramp,UPI,0.65,True
TX0000190,2022-05-01,2022,Delhi,Punjab,ACC179202,ACC955616,442619.38,Cash Deposit,Hawala Network,0.23,False
TX0000191,2018-02-26,2018,Telangana,Tamil Nadu,ACC405240,ACC854479,138448.9,Shell Company Transfer,Hawala Network,0.66,True
TX0000192,2022-04-27,2022,Rajasthan,Delhi,ACC165340,ACC577589,61719.3,Hawala-linked Transfer,UPI,0.7,True
TX0000193,2024-02-07,2024,Delhi,Madhya Pradesh,ACC871875,ACC386121,34237.72,Trade Invoice Payment,Cash,0.3,False
TX0000194,2024-03-20,2024,Telangana,Uttar Pradesh,ACC377789,ACC753923,385256.63,Cash Deposit,Cash,0.11,False
TX0000195,2023-06-03,2023,Telangana,Jammu and Kashmir,ACC418461,ACC684614,52384.27,Remittance,Bank Transfer,0.26,False
TX0000196,2021-08-14,2021,Delhi,Andhra Pradesh,ACC301984,ACC950097,89205.08,Trade Invoice Payment,Crypto Exchange,0.16,False
TX0000197,2019-06-05,2019,Gujarat,Andhra Pradesh,ACC542096,ACC307475,35481.1,Cash Deposit,Hawala Network,0.22,False
TX0000198,2019-05-11,2019,West Bengal,Bihar,ACC794672,ACC231129,727733.03,Remittance,Hawala Network,0.22,False
TX0000199,2019-12-11,2019,Jammu and Kashmir,Assam,ACC458798,ACC320362,208318.42,Shell Company Transfer,Cash,0.67,True
TX0000200,2019-01-10,2019,Haryana,Andhra Pradesh,ACC713544,ACC553641,12967.82,Trade Invoice Payment,UPI,0.11,False
TX0000201,2024-02-16,2024,Maharashtra,Gujarat,ACC576212,ACC914867,19240.95,Remittance,Bank Transfer,0.25,False
TX0000202,2020-11-26,2020,Telangana,Rajasthan,ACC950255,ACC611014,102636.74,Trade Invoice Payment,Hawala Network,0.25,False
TX0000203,2018-12-03,2018,Delhi,Jammu and Kashmir,ACC626335,ACC708857,93903.39,Trade Invoice Payment,Crypto Exchange,0.27,False
TX0000204,2020-09-26,2020,Mizoram,Andhra Pradesh,ACC930814,ACC894979,252436.32,Remittance,UPI,0.14,False
